nodes,rho,network,beta,lambda,factor,physical_infectivity,hidden_infectivity,aware,infected
100,0.2,barabassi,0.6,0.1,0.01,0.0,0.1,0.9725806451612903,0.6993548387096772
100,0.2,barabassi,0.6,0.2,0.01,0.0,0.1,0.9725806451612903,0.6977419354838712
100,0.2,barabassi,0.6,0.3,0.01,0.0,0.1,0.9725806451612903,0.7145161290322577
100,0.2,barabassi,0.6,0.4,0.01,0.0,0.1,0.9719354838709677,0.6816129032258068
100,0.2,barabassi,0.6,0.5,0.01,0.0,0.1,0.9722580645161291,0.7187096774193544
100,0.2,barabassi,0.6,0.6,0.01,0.0,0.1,0.9719354838709678,0.6877419354838711
100,0.2,barabassi,0.6,0.7,0.01,0.0,0.1,0.9722580645161291,0.7303225806451609
100,0.2,barabassi,0.6,0.8,0.01,0.0,0.1,0.9719354838709678,0.6864516129032262
100,0.2,barabassi,0.6,0.9,0.01,0.0,0.1,0.9719354838709678,0.586774193548387
100,0.2,barabassi,0.6,1.0,0.01,0.0,0.1,0.9716129032258065,0.7425806451612905
100,0.2,barabassi,0.7,0.0,0.01,0.0,0.1,0.9725806451612903,0.7103225806451611
100,0.2,barabassi,0.7,0.1,0.01,0.0,0.1,0.9725806451612903,0.705483870967742
100,0.2,barabassi,0.7,0.2,0.01,0.0,0.1,0.9725806451612903,0.6983870967741935
100,0.2,barabassi,0.7,0.3,0.01,0.0,0.1,0.9725806451612903,0.6932258064516126
100,0.2,barabassi,0.7,0.4,0.01,0.0,0.1,0.9725806451612903,0.7451612903225803
100,0.2,barabassi,0.7,0.5,0.01,0.0,0.1,0.9725806451612903,0.7022580645161289
100,0.2,barabassi,0.7,0.6,0.01,0.0,0.1,0.9725806451612903,0.7154838709677418
100,0.2,barabassi,0.7,0.7,0.01,0.0,0.1,0.9719354838709678,0.6558064516129033
100,0.2,barabassi,0.7,0.8,0.01,0.0,0.1,0.9722580645161291,0.6909677419354843
100,0.2,barabassi,0.7,0.9,0.01,0.0,0.1,0.9722580645161291,0.6651612903225805
100,0.2,barabassi,0.7,1.0,0.01,0.0,0.1,0.9719354838709678,0.6329032258064514
100,0.2,barabassi,0.8,0.0,0.01,0.0,0.1,0.9725806451612903,0.6980645161290323
100,0.2,barabassi,0.8,0.1,0.01,0.0,0.1,0.9725806451612903,0.6761290322580645
100,0.2,barabassi,0.8,0.2,0.01,0.0,0.1,0.9725806451612903,0.7103225806451612
100,0.2,barabassi,0.8,0.3,0.01,0.0,0.1,0.9725806451612903,0.7487096774193546
100,0.2,barabassi,0.8,0.4,0.01,0.0,0.1,0.9725806451612903,0.682258064516129
100,0.2,barabassi,0.8,0.5,0.01,0.0,0.1,0.9725806451612903,0.6851612903225809
100,0.2,barabassi,0.8,0.6,0.01,0.0,0.1,0.9725806451612903,0.6745161290322581
100,0.2,barabassi,0.8,0.7,0.01,0.0,0.1,0.9722580645161291,0.7216129032258066
100,0.2,barabassi,0.8,0.8,0.01,0.0,0.1,0.9725806451612903,0.7235483870967739
100,0.2,barabassi,0.8,0.9,0.01,0.0,0.1,0.9725806451612903,0.7190322580645158
100,0.2,barabassi,0.8,1.0,0.01,0.0,0.1,0.9719354838709678,0.7019354838709676
100,0.2,barabassi,0.9,0.0,0.01,0.0,0.1,0.9725806451612903,0.7267741935483868
100,0.2,barabassi,0.9,0.1,0.01,0.0,0.1,0.9725806451612903,0.7170967741935483
100,0.2,barabassi,0.9,0.2,0.01,0.0,0.1,0.9725806451612903,0.7251612903225809
100,0.2,barabassi,0.9,0.3,0.01,0.0,0.1,0.9725806451612903,0.7319354838709679
100,0.2,barabassi,0.9,0.4,0.01,0.0,0.1,0.9725806451612903,0.7006451612903227
100,0.2,barabassi,0.9,0.5,0.01,0.0,0.1,0.9725806451612903,0.6596774193548385
100,0.2,barabassi,0.9,0.6,0.01,0.0,0.1,0.9725806451612903,0.7161290322580642
100,0.2,barabassi,0.9,0.7,0.01,0.0,0.1,0.9725806451612903,0.6816129032258064
100,0.2,barabassi,0.9,0.8,0.01,0.0,0.1,0.9725806451612903,0.714516129032258
100,0.2,barabassi,0.9,0.9,0.01,0.0,0.1,0.9725806451612903,0.725483870967742
100,0.2,barabassi,0.9,1.0,0.01,0.0,0.1,0.9722580645161291,0.6799999999999999
100,0.2,barabassi,1.0,0.0,0.01,0.0,0.1,0.9725806451612903,0.7683870967741935
100,0.2,barabassi,1.0,0.1,0.01,0.0,0.1,0.9725806451612903,0.7100000000000003
100,0.2,barabassi,1.0,0.2,0.01,0.0,0.1,0.9725806451612903,0.7048387096774192
100,0.2,barabassi,1.0,0.3,0.01,0.0,0.1,0.9725806451612903,0.6729032258064512
100,0.2,barabassi,1.0,0.4,0.01,0.0,0.1,0.9725806451612903,0.728064516129032
100,0.2,barabassi,1.0,0.5,0.01,0.0,0.1,0.9725806451612903,0.7380645161290322
100,0.2,barabassi,1.0,0.6,0.01,0.0,0.1,0.9725806451612903,0.6990322580645161
100,0.2,barabassi,1.0,0.7,0.01,0.0,0.1,0.9725806451612903,0.7474193548387092
100,0.2,barabassi,1.0,0.8,0.01,0.0,0.1,0.9725806451612903,0.6416129032258066
100,0.2,barabassi,1.0,0.9,0.01,0.0,0.1,0.9725806451612903,0.6912903225806455
100,0.2,barabassi,1.0,1.0,0.01,0.0,0.1,0.9725806451612903,0.7441935483870965
100,0.2,barabassi,0.0,0.0,0.01,0.0,0.2,0.8151612903225807,0.20000000000000007
100,0.2,barabassi,0.0,0.1,0.01,0.0,0.2,0.8270967741935483,0.20000000000000007
100,0.2,barabassi,0.0,0.2,0.01,0.0,0.2,0.8093548387096774,0.20000000000000007
100,0.2,barabassi,0.0,0.3,0.01,0.0,0.2,0.8280645161290322,0.20000000000000007
100,0.2,barabassi,0.0,0.4,0.01,0.0,0.2,0.810967741935484,0.20000000000000007
100,0.2,barabassi,0.0,0.5,0.01,0.0,0.2,0.8296774193548386,0.20000000000000007
100,0.2,barabassi,0.0,0.6,0.01,0.0,0.2,0.8074193548387097,0.20000000000000007
100,0.2,barabassi,0.0,0.7,0.01,0.0,0.2,0.8183870967741936,0.20000000000000007
100,0.2,barabassi,0.0,0.8,0.01,0.0,0.2,0.8093548387096773,0.20000000000000007
100,0.2,barabassi,0.0,0.9,0.01,0.0,0.2,0.8232258064516129,0.20000000000000007
100,0.2,barabassi,0.0,1.0,0.01,0.0,0.2,0.8296774193548387,0.20000000000000007
100,0.2,barabassi,0.1,0.0,0.01,0.0,0.2,0.9432258064516126,0.7232258064516126
100,0.2,barabassi,0.1,0.1,0.01,0.0,0.2,0.9329032258064514,0.6951612903225808
100,0.2,barabassi,0.1,0.2,0.01,0.0,0.2,0.9270967741935483,0.7299999999999999
100,0.2,barabassi,0.1,0.3,0.01,0.0,0.2,0.9380645161290323,0.7087096774193548
100,0.2,barabassi,0.1,0.4,0.01,0.0,0.2,0.9458064516129032,0.7248387096774196
100,0.2,barabassi,0.1,0.5,0.01,0.0,0.2,0.9419354838709677,0.7199999999999996
100,0.2,barabassi,0.1,0.6,0.01,0.0,0.2,0.9280645161290323,0.7032258064516129
100,0.2,barabassi,0.1,0.7,0.01,0.0,0.2,0.948064516129032,0.7629032258064518
100,0.2,barabassi,0.1,0.8,0.01,0.0,0.2,0.9383870967741932,0.710967741935484
100,0.2,barabassi,0.1,0.9,0.01,0.0,0.2,0.9422580645161288,0.7416129032258065
100,0.2,barabassi,0.1,1.0,0.01,0.0,0.2,0.9293548387096772,0.7258064516129034
100,0.2,barabassi,0.2,0.0,0.01,0.0,0.2,0.9616129032258061,0.7687096774193553
